0.04, -0.09, 0.01
0.05, -0.03, 0.08
0.02, 0.02, 0.10
0.09, -0.05, 0.02
-0.07, -0.07, 0.03
0.07, 0.05, 0.06
-0.02, 0.10, 0.02
-0.01, -0.00, 0.11
0.01, -0.00, 0.11
0.03, -0.01, 0.11
0.05, 0.07, 0.09
0.02, -0.00, 0.12
0.13, -0.03, 0.01
-0.08, 0.01, 0.11
0.04, -0.13, 0.04
0.09, 0.12, 0.00
-0.14, 0.07, 0.02
0.11, -0.06, 0.10
0.02, -0.08, 0.15
0.15, -0.04, 0.09
-0.06, -0.09, 0.15
0.18, 0.04, 0.07
0.12, -0.16, 0.04
0.14, -0.06, 0.15
-0.09, -0.19, 0.09
0.01, -0.16, 0.18
-0.01, -0.22, 0.12
-0.18, 0.15, 0.11
-0.15, -0.22, 0.05
0.13, 0.24, 0.09
-0.05, -0.17, 0.24
0.29, 0.06, 0.10
-0.03, 0.16, 0.28
0.32, 0.10, 0.05
0.03, 0.02, 0.35
0.09, -0.19, 0.30
-0.13, -0.36, 0.05
-0.11, 0.24, 0.31
0.35, -0.11, 0.20
0.32, 0.07, 0.29
-0.42, 0.17, 0.06
-0.34, 0.31, 0.10
0.05, -0.48, 0.02
0.14, -0.49, 0.02
0.19, 0.44, 0.21
-0.48, 0.03, 0.25
-0.46, 0.17, 0.28
-0.22, -0.28, 0.46
-0.06, -0.23, 0.56
0.01, -0.37, 0.51
-0.07, 0.45, 0.46
-0.29, -0.61, 0.00
-0.27, -0.40, 0.49
0.29, 0.47, 0.46
0.48, 0.45, 0.34
-0.48, 0.00, 0.59
0.63, -0.16, 0.45
-0.21, 0.33, 0.71
-0.42, -0.25, 0.68
0.14, 0.85, 0.02
0.00, -0.51, 0.73
-0.02, 0.52, 0.75
-0.32, -0.01, 0.89
-0.28, -0.84, 0.40
